movie_id,movie_title,oscar_year,won_oscar,total_count_fucks,average_fucks_per_hour,genre,director_name,director_id,picture
1,Kramer vs. Kramer,1980,True,0,0.0,Drama,Robert Benton,1,
2,Apocalypse Now,1980,False,0,0.0,War,Francis Ford Coppola,2,
3,All That Jazz,1980,False,6,3.51,Drama,Bob Fosse,3,
4,Breaking Away,1980,False,0,0.0,Comedy,Peter Yates,4,
5,Norma Rae,1980,False,0,0.0,Drama,Martin Ritt,5,
6,Ordinary People,1981,True,8,7.26,Drama,Robert Redford,6,
7,Raging Bull,1981,False,124,62.02,Biography,Martin Scorsese,7,
8,Coal Miner's Daughter,1981,False,0,0.0,Biography,Michael Apted,8,
9,The Elephant Man,1981,False,0,0.0,Biography,David Lynch,9,
10,Tess,1981,False,0,0.0,Drama,Roman Polanski,10,
11,Chariots of Fire,1982,True,0,0.0,Biography,Hugh Hudson,11,
12,Atlantic City,1982,False,0,0.0,Crime,Louis Malle,12,
13,On Golden Pond,1982,False,0,0.0,Drama,Mark Rydell,13,
14,Raiders of the Lost Ark,1982,False,0,0.0,Action,Steven Spielberg,14,
15,Reds,1982,False,0,0.0,Biography,Warren Beatty,15,
16,Gandhi,1983,True,0,0.0,Biography,Richard Attenborough,16,
17,E.T. the Extra-Terrestrial,1983,False,0,0.0,Family,Steven Spielberg,14,
18,Missing,1983,False,3,2.96,Biography,Costa-Gavras,17,
19,Tootsie,1983,False,0,0.0,Comedy,Sydney Pollack,18,
20,The Verdict,1983,False,0,0.0,Drama,Sidney Lumet,19,
21,Terms of Endearment,1984,True,2,1.43,Comedy,James L. Brooks,20,
22,The Right Stuff,1984,False,4,1.95,Adventure,Philip Kaufman,21,
23,The Big Chill,1984,False,0,0.0,Comedy,Lawrence Kasdan,22,
24,The Dresser,1984,False,0,0.0,Drama,Peter Yates,4,
25,Tender Mercies,1984,False,0,0.0,Drama,Bruce Beresford,23,
26,Amadeus,1985,True,0,0.0,Biography,Miloš Forman,24,
27,A Passage to India,1985,False,0,0.0,Drama,David Lean,25,
28,A Soldier's Story,1985,False,4,2.58,Crime,Norman Jewison,26,
29,Places in the Heart,1985,False,0,0.0,Drama,Robert Benton,1,
30,The Killing Fields,1985,False,18,9.72,Biography,Roland Joffé,27,
31,Out of Africa,1986,True,0,0.0,Biography,Sydney Pollack,18,
32,Kiss of the Spider Woman,1986,False,8,4.23,Drama,Hector Babenco,28,
33,Prizzi's Honor,1986,False,6,3.48,Comedy,John Huston,29,
34,The Color Purple,1986,False,0,0.0,Drama,Steven Spielberg,14,
35,Witness,1986,False,8,4.66,Crime,Peter Weir,30,
36,Platoon,1987,True,158,85.21,Drama,Oliver Stone,31,
37,Hannah and Her Sisters,1987,False,0,0.0,Comedy,Woody Allen,32,
38,The Mission,1987,False,0,0.0,Adventure,Roland Joffé,27,
39,Children of a Lesser God,1987,False,6,3.32,Drama,Randa Haines,33,
40,A Room With a View,1987,False,0,0.0,Drama,James Ivory,34,
41,The Last Emperor,1988,True,0,0.0,Biography,Bernardo Bertolucci,35,
42,Broadcast News,1988,False,0,0.0,Comedy,James L. Brooks,20,
43,Fatal Attraction,1988,False,0,0.0,Thriller,Adrian Lyne,36,
44,Hope and Glory,1988,False,4,4.79,Comedy,John Boorman,37,
45,Moonstruck,1988,False,0,0.0,Comedy,Norman Jewison,26,
46,Rain Man,1989,True,18,9.53,Drama,Barry Levinson,38,
47,Mississippi Burning,1989,False,9,5.16,Crime,Alan Parker,39,
48,The Accidental Tourist,1989,False,0,0.0,Drama,Lawrence Kasdan,22,
49,Dangerous Liaisons,1989,False,0,0.0,Drama,Stephen Frears,40,
50,Working Girl,1989,False,0,0.0,Comedy,Mike Nichols,41,
51,Driving Miss Daisy,1990,True,0,0.0,Drama,Bruce Beresford,23,
52,Dead Poets Society,1990,False,0,0.0,Drama,Peter Weir,30,
53,Born on the Fourth of July,1990,False,145,64.58,Biography,Oliver Stone,31,
