occurrence_id,movie_id,movie_title,genre,director_name,director_id,oscar_year,won_oscar,exact_word,surrounding_text,linguistic_context,timestamp,total_count_fucks,average_fucks_per_hour,synopsis,image
1,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fuck,"Oh, fuck him. He never picks me.",insult,"00:07:25,400",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
2,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fuck,"I did fuck him, and he never picks me either.",insult,"00:07:28,360",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
3,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fucking,Some fucking father!,general_expletive,"00:10:17,800",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
4,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fucking,Goddamn son-of-a-bitch pig-fucking bastards!,general_expletive,"00:12:38,560",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
5,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fucking,Turn. That is some fucking music.,general_expletive,"00:29:23,680",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
6,3,All That Jazz,Drama,Bob Fosse,3.0,1980,False,fucking,"Goddamn son of a bitch, pig-fucking bastards!""",general_expletive,"01:42:27,920",6,2.94,A driven Broadway choreographer's obsessive lifestyle catches up with him as he juggles multiple shows while struggling with his health.,
7,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,Fuck,"Fuck you, Jarrett.",insult,"00:52:34,712",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
8,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,fuck,What? Tell me to fuck off!,insult,"00:54:13,440",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
9,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,fuck,"Well, fuck-- No. I can't do this.",exclamation_shock,"00:54:15,401",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
10,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,Fuck,"Fuck you, Berger. Fuck you! What?",insult,"00:54:30,958",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
11,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,Fuck,"Fuck you, Berger. Fuck you! What?",insult,"00:54:30,958",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
12,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,Fuck,Yeah? Fuck you!,insult,"00:54:32,960",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
13,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,fuck,and you go home and fuck the daylights out of her!,insult,"00:54:43,806",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
14,6,Ordinary People,Drama,Robert Redford,6.0,1981,True,fuck,The only reason she gives a fuck about it,general_expletive,"01:06:08,903",8,3.97,"A suburban family fractures after the accidental death of their eldest son, forcing the surviving teenager and his parents to confront grief and guilt.",
15,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Jack, tell me, why the fuck do we have to come to Cleveland for you",insult,"00:04:19,190",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
16,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Come on, do the fuckin' right thing.",general_expletive,"00:04:23,830",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
17,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Just like home... all over the fuckin' moolies.,general_expletive,"00:04:35,040",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
18,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,motherfucker,Knock the motherfucker out. You understand? Knock him out.,compound_expletive,"00:04:37,110",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
19,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Don't leave. Don't get outta the fuckin' ring. Stay here.,general_expletive,"00:06:44,670",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
20,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"...on his fuckin' back, they pick up his arm, he's dead.",general_expletive,"00:07:43,860",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
21,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,When the fuck you gonna stop with that stuff?,insult,"00:08:08,550",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
22,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"If he's in a good mood, I'll talk to him. What the fuck you want me to do?",insult,"00:09:46,350",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
23,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,- He's got me fuckin' nuts. - You're his brother.,insult,"00:09:55,820",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
24,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuck,Fuck! I'm sick of you!,insult,"00:10:38,830",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
25,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Oh, fuck!",exclamation_shock,"00:11:25,880",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
26,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"you can't fuckin' eat and drink like an animal,",insult,"00:11:39,390",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
